name,email,selectedCategories,brands,priceRanges,uniqueLink
prakash,bhanu0301reddy@gmail.com,"[""camera"",""laptop"",""tv""]","[""infinix"",""sony"",""hitachi"",""apple""]","[""50000-80000"",""80000-999999"",""60000-90000"",""90000-999999""]",
prakash,ram20iss@gmail.com,"[""camera"",""laptop"",""tv""]","[""infinix"",""sony"",""hitachi"",""apple""]","[""50000-80000"",""80000-999999"",""60000-90000"",""90000-999999""]",
prakash,ram20css@gmail.com,"[""camera"",""laptop"",""tv""]","[""infinix"",""sony"",""hitachi"",""apple""]","[""50000-80000"",""80000-999999"",""60000-90000"",""90000-999999""]",
prakash,vbpr@gmail.com,"[""camera"",""mobile"",""tv""]","[""infinix"",""asus"",""sony"",""hitachi"",""apple""]","[""10000-20000"",""20000-50000"",""50000-80000"",""80000-999999"",""60000-90000"",""90000-999999""]",
ram,vbpram@gmail.com,"[""camera"",""mobile"",""tv""]","[""infinix"",""asus"",""sony"",""hitachi"",""apple""]","[""10000-20000"",""20000-50000"",""50000-80000"",""80000-999999"",""60000-90000"",""90000-999999""]",
ramu,pram@gmail.com,"[""camera""]",[],[],
ramukumar,pramk@gmail.com,"[""camera"",""mobile"",""tv""]","[""apple"",""samsung"",""infinix"",""micromax""]","[""20000-50000"",""50000-999999"",""50000-80000""]",
ramukumar,skjjfbkj@gmail.com,"[""camera"",""mobile"",""laptop"",""tv""]","[""apple"",""samsung"",""infinix"",""micromax"",""hp"",""dell"",""apple""]","[""20000-50000"",""50000-999999"",""50000-80000"",""60000-90000"",""90000-999999""]",
sukumar,skjjfbdewfkj@gmail.com,"[""camera"",""mobile"",""laptop"",""tv""]","[""apple"",""samsung"",""infinix"",""micromax"",""hp"",""dell"",""apple""]","[""20000-50000"",""50000-999999"",""50000-80000"",""60000-90000"",""90000-999999""]",
Shahrukh,jawaan@gmail.com,"[""laptop"",""sound""]","[""apple""]","[""90000-999999""]",
Salman,salman@gmail.com,"[""laptop"",""sound""]","[""hp"",""apple""]","[""60000-90000"",""90000-999999""]",
Vamshi,vam20is@cmrit.ac.in,"[""camera"",""mobile"",""sound""]","[""apple"",""samsung"",""hp"",""apple""]","[""20000-50000"",""50000-999999"",""60000-90000"",""90000-999999""]",
Trisha,trmo20is@cmrit.ac.in,"[""laptop""]","[""hp"",""apple""]","[""60000-90000"",""90000-999999""]",
Vikas,vik20cs@cmrit.ac.in,"[""laptop""]","[""hp"",""apple""]","[""60000-90000"",""90000-999999""]",
Vikram,vikram20is@gmail.com,"[""tv""]","[""micromax""]","[""80000-999999""]",
Ramudu,ramudu@gmail.com,"[""laptop"",""tv""]","[""hitachi"",""apple"",""acer""]","[""50000-80000"",""80000-999999"",""60000-90000"",""90000-999999""]",
Suma,sumajdfjhjjjj@gmail.com,"[""camera"",""tv""]","[""micromax"",""hitachi""]","[""50000-80000""]",
Suman,sumanjdfjhdjjjj@gmail.com,"[""camera"",""tv""]","[""micromax"",""hitachi""]","[""50000-80000""]",
Sumanth,sumanthjdfjhdjjjj@gmail.com,"[""camera"",""tv""]","[""micromax"",""hitachi""]","[""50000-80000""]",
Sumanths,sumanthjdsfjhdjjjj@gmail.com,"[""camera"",""tv""]","[""micromax"",""hitachi""]","[""50000-80000""]",
Tanay,tanay@gmail.com,"[""camera"",""mobile"",""laptop""]","[""samsung"",""apple""]","[""10000-20000"",""20000-50000"",""90000-999999""]",
mahesh,mah200is@gmail.com,"[""laptop""]","[""apple""]","[""40000-60000"",""60000-90000""]",
maheshs,mah200iss@gmail.com,"[""mobile"",""laptop""]","[""samsung"",""oppo"",""apple""]","[""20000-50000"",""40000-60000"",""60000-90000""]",
nitish,nit00928e@gmail.com,"[""tv"",""sound""]","[""micromax"",""hitachi""]","[""50000-80000"",""80000-999999""]",
nitish reddy,nit00928efd@gmail.com,"[""tv"",""sound""]","[""micromax"",""hitachi""]","[""50000-80000"",""80000-999999""]",51265acc-509a-42c2-88ba-a7abf396d1b6
nitish reddy,nit00928efdd@gmail.com,"[""tv"",""sound""]","[""micromax"",""hitachi""]","[""50000-80000"",""80000-999999""]",886ca3ae-227f-40c1-806e-7911375ee0a3
nitish reddy,nit00928ecfdd@gmail.com,"[""tv"",""sound""]","[""micromax"",""hitachi""]","[""50000-80000"",""80000-999999""]",a701790d-f1a7-47b1-ac29-e10fd91fca37
nitish reddy,nit00d928ecfdd@gmail.com,"[""mobile"",""laptop"",""tv"",""sound""]","[""apple"",""samsung"",""micromax"",""hitachi"",""hp"",""apple""]","[""20000-50000"",""50000-999999"",""50000-80000"",""80000-999999"",""60000-90000"",""90000-999999""]",bce7da52-a279-4fa3-8784-2ac938170869
nitish reddy,nit00d9d28ecfdd@gmail.com,"[""mobile"",""laptop"",""tv"",""sound""]","[""apple"",""samsung"",""micromax"",""hitachi"",""hp"",""apple""]","[""20000-50000"",""50000-999999"",""50000-80000"",""80000-999999"",""60000-90000"",""90000-999999""]",3aa0d706-aa80-4055-abf0-fd12e9acfff8
nitish reddy,nit00d9dd28ecfdd@gmail.com,"[""mobile"",""laptop"",""tv"",""sound""]","[""apple"",""samsung"",""micromax"",""hitachi"",""hp"",""apple""]","[""20000-50000"",""50000-999999"",""50000-80000"",""80000-999999"",""60000-90000"",""90000-999999""]",c42e96b7-5919-4fcd-8f9d-c7f62ee98f03
nitish reddy,nit00cd9dd28ecfdd@gmail.com,"[""mobile"",""laptop"",""tv"",""sound""]","[""apple"",""samsung"",""micromax"",""hitachi"",""hp"",""apple""]","[""20000-50000"",""50000-999999"",""50000-80000"",""80000-999999"",""60000-90000"",""90000-999999""]",97775ff8-29c0-4d9c-9331-5f94d6f169aa
